Pre_RSRP,Post_RSRP,Delta_RSRP
-95.8257371253404,-87.1314586222075,8.69427850313286
-92.8956144713072,-84.3001798207714,8.59543465053583
-92.4185518589851,-83.727366243203,8.69118561578207
-89.690741242031,-81.2658535154945,8.42488772653649
-91.3811929237145,-83.0430983432813,8.33809458043323
-93.1142635353025,-84.7433603374925,8.37090319781002
-90.9168177598731,-82.3173757708245,8.59944198904865
-92.9900721522862,-84.3015198386182,8.68855231366797
-93.1450223398669,-84.6034117547052,8.54161058516173
-91.2951153738394,-82.7531953366206,8.5419200372188
-94.236383822585,-85.8106401302705,8.42574369231441
-90.5762648756877,-82.0329635682523,8.5433013074354
-92.3496791609501,-83.6566620389234,8.69301712202668
-91.2135639155986,-82.6692261783574,8.54433773724127
-92.9461270302506,-84.3388810627858,8.60724596746472
