scenario_type,N_UE,distribution,method,seed,tail_window,metric,value,unit,plot_panel,source_run,notes
scale_sweep,50,uniform,hmadqn_k3,42,last_10pct,reward_sum,2.677475171074969,unitless,supp_reward,hmadqn_k3_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,hmadqn_k3,42,last_10pct,throughput_mbps,1165.187392625451,Mbps,A_throughput,hmadqn_k3_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,hmadqn_k3,42,last_10pct,qos_satisfaction,0.54528,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,hmadqn_k3,42,last_10pct,jain_fairness,0.7781670693119754,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,hmadqn_k3,42,last_10pct,switch_ratio,0.53914,ratio,C_switch_ratio,hmadqn_k3_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,hmadqn_k3,42,last_1000,reward_sum,2.677475171074969,unitless,supp_reward,hmadqn_k3_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,hmadqn_k3,42,last_1000,throughput_mbps,1165.187392625451,Mbps,A_throughput,hmadqn_k3_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,hmadqn_k3,42,last_1000,qos_satisfaction,0.54528,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,hmadqn_k3,42,last_1000,jain_fairness,0.7781670693119754,ratio,B_qos_fairness,hmadqn_k3_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
scale_sweep,50,uniform,hmadqn_k3,42,last_1000,switch_ratio,0.53914,ratio,C_switch_ratio,hmadqn_k3_scale_uniform_N50_seed42,reward retained for internal/supplemental checks
